Detalle del Correo	VALIDACION 1	CODIGO 1
Hola Jimena: Haciendo unos pagos anoche, revisé la cartola en linea y aparacen abonos desde linea de sobregiro cuando si hay saldo disponible. Te agradeceré revisar.  Gracias y saludos  Luz Maria	1	29
Hola,  me gustaría saber que productos del banco debo tener para que no me cobren mantención por la cuenta corriente.  Gracias de antemano,  Juan Pablo	1	17
                 Puerto Montt, 23 de julio de 2018.                        Ref. : Informa cierre de cuenta corriente.    SRES. BANCO SECURITY PUERTO MONTT      Yo, PATRICIO GONZALEZ CANALES, C.N.I. Nº10.444.233-1, les señalo que mediante la presente, le informo que  efectuado un análisis final en cuanto a la conveniencia o no de mantener esta cuenta corriente, he determinado mantener mi voluntad de cerrar la CUENTA CORRIENTE Nº139628501. La cuenta corriente la cierro, dado que no efectúo operaci	1	18
Estimada Cristina:  Deseo me disminuyan el monto de la línea de crédito que tengo asignada. Que quede sólo de $100.000, por favor  Atentamente,   Gonzalo Rojas Costa 	1	9
Hola Paola  te escribo pues necesito disminuir mis cupos de la linea de credito a 5 millones y de la master black a 2 millones máximo  te pido puedas gestionar esto  agradeciendo tu apoyo, te saluda cordialmente  Francisco Javier Rojas	1	9
Estimada  Queria consultar sobre los cupos de la tarjeta de crédito y linea de sobregiro. Tu me habías dicho que se mantendría un cupo de 1 millon.  Te pregunto porque tenia cuentas con pago automático que no se han podido pagar de esa forma.  Atento a tu respuesta  Marcelo Santelices	1	26
Hola. No recuerdo desde que fecha soy cliente del banco, pero si fuera desde el 2015, necesito la cartola de la cuenta corriente que incluya la fecha 28 de abril de 2015. ¿Será posible adquirirla?	1	7
Estimados,   Viendo mis movimientos de Febrero 2018, me di cuenta que el día que yo pagué mi tarjeta de credito (5 de feb) se hizo efectivo un PAC de tarjeta por el mismo monto, el cual se sacó de mi linea de crédito, lo que me trajo intereses y además que ahora me tiene la línea con un monto utilizado alto.  Ver cartola de febrero.  Favor ponerse en contacto, ya que necesito que me de una solución, ya que me han cobrado intereses de uso de línea además que ahora mi TC tiene un monto positivo pa	1	28
Nigel, hola! Tengo un cargo por $5.000 realizado el 3 de enero y dice "security cash"... de que es???? No se a que se refiere... me avisas por fa  Saludos Loreto	1	1
Como veo mis cartolas de meses anteriores?	1	7
Estimada Paola. Un saludo muy cordial para ti. Por favor hacer un prepago de las cuotas 11 y 12 de una compra que hice en HONDA CENTER. El saldo se encuentra disponible mi cta cte. Desde agradecida por tu gestión. Saludos cordiales.	1	26
Hola Marion , perdí mi tarjeta de débito y necesito pedir una nueva y bloquear la antigua .  Me podrían mandar la nueva a la sucursal de chicureo porfa ? Espero respuesta Gracias !	1	35
Estimada Marion, Quiero cerrar mi cuenta corriente en el banco. Ta gradecería me indicaras los pasos que debo seguir para efectuar el cierre. Quedo atenta a tus copmentarios. Marcela	1	18
Buenos Dias, Yasna.  Estoy a la espera de la resolución de las condiciones de la cuenta corriente. Según lo conversado la semana pasada. Muchas Gracias.  Saludos	1	30
Hola Maribel  Tengo consulta, porque aparece mi saldo disponible  y el otro con un signo negativo?? SIEMPRE  aparece 0 si no hay pero desde ayer me aparece - algo. Porque la linea de credito tiene otro monto usado  Atenta a tu respuesta 	1	1
Buenos días, por favor me envían un detalle de las tasas de interés cobradas por el uso de la línea de crédito durante enero. Gracias, 	1	3
Cristina, al tener un crédito con PAC, dos PAC de cuentas. Es necesario continuar haciendo la TEF por 60 UF para mantener la gratuidad o con lo anteriormente señalado cumpliría con lo necesario para mantenerla?  Saludos	1	17
Buenas tardes Consuelo, favor cursar remesa solicitada a Mary Leverington por un monto de USD 1500,00, remesa debe ser efectuada a Banco Itau Brasil  SALUDOS CORDIALES	1	24
Marcela buenos días. Favor agradeceré aclara el cargo en mi cta por $38.271 por concepto de seguro desgravamen línea de sobregiro. Además aún no se me carga la cuota del seguro de cesantía por el crédito de consumo.  Saludos, Rodrigo	1	1
Estimada Macarena, tengo contratado pago PAC con Metrogas el cual no tiene cobros aún y la fecha de pago ya pasó. Me salto el PAc por ahora?  	1	30
Hola Marion; Esperando que te encuentres bien solicito nueva tarjeta redcompra porque se me rompió la actual. Necesito que se genere con reposición en la sucursal de Temuco  por favor.   Saludos,  Paula Cortes  998262496 	1	13
Buenos días Gabriela Por favor su ayuda. No recuerdo la clave de la tarjeta de crédito y debito. Como lo hago para recuperarlas.  Quedo atenta,  saludos, Susana Parra  	1	21
quiero cerrar mi cuenta, no la uso y me genera un gasto mensual que no me interesa mantener	1	18
Estimada Monica:  Quisiera desinscribirme del pago mensual a la fundación Banigualdad, que esta con la modalidad de PAC.  Por favor cuentame como podemos solucionar este asunto.   Lo segundo, es que sacando cuentas, estoy realizando un pago mensual de 12.302 pesos por conceptos de mantencion de tarjeta de debito, linea de credito (que no uso), mas cobro de Iva en comisiones y cuentas, y seguro de fraude... me han contactado de otros bancos, ofreciéndome bajar los costos de mantención; si bien me	1	5
Carolina, por favor pagar la Linea de Credito	1	98
Se puede saber en qué cajero se hizo este giro?. No recuerdo muy bien.  Fecah: 25/05 GIRO EN CAJERO  Operación: 000008130  Gracias	1	98
Hola Lydia estoy con deuda en línea de crédito y tarjeta de crédito. Que tiene más intereses. Cuál deuda es mejor saldar antes.   Saludos muchas gracias 	1	30
Loreto , me confirmas anulación de los dos pac que tengo con Vida Security . te mande mail .	1	5
Buenas tardes, necesito realizar el cierre de esta cuenta, agradecería su atención para indicarme si es factible realizar esta operación de manera remota por encontrarme fuera de la ciudad en estos momentos. Gracias   Christian Caroca 	1	18
Hola Claudia, tengo entendido que ahora las cuentas corrientes ya no cobran mantención (tarjeta de débito y línea de crédito) y por lo que averigüé yo si calificaría para este tipo de cuenta.  ¿Me podrías ayudar para ahora contar con estas condiciones y dejar de pagar mantención?  quedo atenta, Sujin	1	17
Hola,¿cómo estás? tengo mi tarjeta de debito en muy mal estado y quiero cambiarla. ¿Esto tiene algún costo? ¿cuánto se demora? Es primera vez que la cambio en años. Que tengas un buen día! Saludos!  	1	13
Johanna   Hola! te escribo porque necesito urgente puedas agilizar el hipotecario, no puedo seguir pagando esa cantidad, para eso hicimos este cambio de crédito. Favor respóndeme a la brevedad, ha pasado demasiado tiempo..no  se porqué aún no sale este hipotecario.  Además me cobraron  $105.000 pesos aprox. por carta de encargo en mi cuenta... no  entiendo?  Quedo atenta a tus respuestas... Saludos.. MÓNICA.  	1	1
Buenas tardes,   Favor necesito la liquidación de los interes de la linea de credito.  Saludos	1	29
Estimada Carolina, le informo que la tarjeta de cuenta vista de mi señora fue retenida por el cajero. fue bloqueada esta tarde. Por favor gestionar una nueva tarjeta vista y enviarla a sucursal de Temuco.  desde ya muchas gracias. atte.  Fernando Alvarez Salas	1	13
Srta. Mayerling, buen día.   Usted no está plenamente en el asunto. Los pagos automaticos son solamente HDI (vehículo)  y METROGAS.    SI POR ALGUNA CASUALIDAD está activado el Seguro de BCI, le ruego me indique de qué se trata y cuánto han cobrado durante todo 2018.   El reclamo que  he hecho  a Banco Security es un SEGURO que está cobrando directamente el Banco SECURITY.   Saludos  cordiales,                GIOCONDA  PIMSTEIN	1	1
Estimado,  Con urgencia necesito revisar los cupos de la línea de crédito y de la tarjeta de crédito.  Por favor contactarme a la brevedad,  Saludos,  Rex Vidal.	1	23
Buenos dias, Por favor Isabel, podrías eliminar el PAC debito automático de mi tarjeta para evitar pagos en duplicidad? saludos	1	5
Hola Rosario como estas  Favor nuevamente de tu ayuda , hoy en mi cuenta tengo el deposito del Vale Vista entregado el dia viernes.  Esto se realiza en forma interna , el pago del credito, linea de credito y tarjeta de credito ?? agradecido de tu gestion  slds Marco S..R-	1	98
Estimados, queria abonar a la tarjeta de credito 500 mil pesos, y se me fue un 0 de mas... Ayuda para reversar la operacion. Mil gracias	1	28
Estimada Gabriela, junto con saludarte quisiera gestionar  el cierre de mi cuenta con el banco security. Me cuentas por favor cómo proceder en este asunto. Muchas gracias María José Riquelme	1	18
Favor necesito emision de nueva tarjeta de debito, la actual esta con problemas de lectura de chip de acercamiento, retiro preferentemente en sucursal de El Golf  Saludos y gracias de antemano	1	13
Hola, buenos días. Quisiera activar las tarjetas de credito y debito del banco, ya que no lo hice cuando abrí la cuenta. Gracias atte Elizabeth Romero Martinez	1	12
Estimada Loreto Necesito cerrar la cuenta corriente.  Dime a que sucursal me dirijo y cuánto debo para saldar y quedar ok.  Gracias  Paola	1	18
Caroline, buenos días, me ayudas, pague la tarjeta de crédito el 30/07, y hoy me aparece una rebaja en la línea de crédito por el mismo monto, para pagar nuevamente la tarjeta.  Atenta a tu pronta respuesta.	1	1
Pamela, buenos días Te quería preguntar acerca de los cargos que tiene mi cuenta corriente, tienes un detalle de lo que se cobra normalmente por uso, transacción etc?  Por otra parte, actualmente tengo un hipotecario en el banco santander, mi remuneración la deposito ahí por esa razón, tienes alguna forma de evaluar ese hipotecario para traspasarlo a este banco? me gustaría saber si me conviene.  Un saludo.  Javiera Valencia móvil: +56949064625	1	1
Hola, requiero las cartolas históricas de mi cuenta corriente desde enero del 2013 a Marzo del 2016. No me aparecen en el portal las antiguas. Solo desde abril 2016.  Muchas gracias, Claudio Reid rut 9.570.031-4	1	7
por favor cargar saldo dividendo, ya deposite faltante.	1	98
Hola Claudia: Quiero abrir una cuenta en dólares. ¿Me puedes contar cuáles son los requisitos y cuánto cobran por mantener la cuenta? Saludos!!	1	30
Estimada,    Junto con saludar, te comento que ayer Sebastián dejo su tarjeta de débito en un cajero.  Por favor bloquear y emitir nuevo plástico. Desde ya, muchas gracias   Rosario Dodds 	1	35
Buenas tardes   Con motivo de mi repatriación a mi país de origen el Miércoles 26 de Septiembre de 2018,ruego realice las gestiones necesarias para cancelar todos los productos contratados, cuenta corriente, línea de crédito, tarjetas etc.   Un saludo	1	18
Buenos días Paula. Me hicieron un depósito en cheque el viernes pasado. Cuando estará disponible?  Gracias Ximena Garri	1	27
Rosario buenos dias espero hayas tenido unas lindas fiestas y te deseo lo mejor para el 2018 mucho exito ,salud y bienestar.  Consulta favor me informas de acuerdo a lo conversado en Diciembre cuando se realizo el pago de la linea de crédito.  Muchas gracias	1	23
Hola, estoy tratando de hacer una transferencia a un nuevo destinatario y me pide clave de voz y estoy fuera del país. Cómo lo hago?  Saludos,  Rodrigo	1	24
Marco, quiero cerrar mi cuenta corriente favor indicame cual es el procedimiento para realizar esto.  Saludos, Ariel Gahona	1	18
Carolina,  quiero cerrar mi cuenta. que pasos debo seguir?  Saludos  José Manuel Pinto	1	18
Hola... tengo un movimiento en mi cuenta corriente por cerca de $ 8.000 Que es el "plan integral preferencial" ??? no recuerdo haber contratado algo con ese nombre.  Saludos,	1	1
Buenas tardes Daniela, Por favor me puedes informar de que se trata el Pan Plus General.  Muchas Gracias, Silvia Ramos	1	1
Estimada Katherine y/o Patricio y/o Harlem  Junto con saludarlos y deseandoles un feliz 2018, vengo a solicitar que hagan una transferencia de Euros para mi cuenta en Portugal de un monto de $ 5.000.000 pesos  Enviar confirmación de recepción y aviso de cuando esté ejecutada la transferencia.  Como sigo en Portugal y sin acceso al mi telefono chileno solicito que procedamos de la misma forma de la ultima transferencia. Voy ingresar en el sitio del banco y ahi ingreso la misma solicitud  Solicito	1	24
Hola. Mi depósito a plazo vence el 23 de octubre y quisiera transferir el monto a mi cuenta corriente. Gracias 	1	26
Hola Ingrid!!  No entiendo que es lo que me están cobrando en la línea de crédito?? Tengo que pagarlo???  Si es así... lo pago para que no siga creciendo le monto pero cierro la cuenta de una vez porque no quiero seguir pagando plata sin sentido. Porque nunca he ocupado las tarjetas.  Gracias  Sandra Ustáriz Manjarrez	1	29
Estimada Consuelo,  Ya ha pasado varios meses sin utilizar mi cuenta, favor, requiero cerrarla.  saludos  Hyunki Lim	1	18
Myriam que tal, necesito saber a que corresponde el cobro en mi cta cte con glosa : Iva en comisiones cuenta Muchas gracias! Nicole	1	1
Patricia,  como puedo obtener una cartola de la tarjeta cachs adicional. necesito ver los movimientos. muchas gracias,  saludos, 	1	7
Hola María José, me cobraron seguro de degravamen ($11.784)de la línea de sobre giro que yo no había visto nunca y que además me lo cobraron dos veces. Me puedes contar de qué se trata? Saludos M. Jesús	1	1
Loreto , necesito con mucha urgencia ,información de todos los depósitos hechos a mi cuenta de Javiera Gallo Gonzalez en los últimos 10 años. es posible? estoy en pleno juicio.	1	27
Hola, hace unas semanas me llamaron para bloquear mi tarjeta de debito, necesito una nueva. Gracias.	1	13
La transferencia programada que tengo desde mi cuenta en el Banco de Chile n° 22501878, por $450.907 fue rechazada este 01-08-2018. Esta transferencia está programada para todos los inicios de mes hasta el 02-01-2022. Es para pagar la cuota mensual del credito de consumo que tengo aquí. Desconozco las razones de esto. Me provoca perjuicios porque la cuota se descuenta de la linea de credito y me cobraran intereses. envié esta misma consulta al banco de Chile para saber donde se originó el proble	1	24
soledad por favor bloquear tarjeta de debito (se me perdio) y mandar a hacer otra. gracias matias	1	13
Drina, hola favor me puedes cargar la cta cte para pagar la cuenta morosa que vencio el 24/08.-   Gracias	1	26
Hola Rodrigo Necesito cerrar la cuenta, te agradecería me puedas indicar los pasos a seguir Saludos 	1	18
Hola Marisol, me puedes por favor generar una nueva tarjeta de debito, la que tengo ya no se ven ni los numeros de lo vieja.  Saludos  Andres Leniz	1	13
 US 172,43 172,4   ME PUEDE INDICAR A QUE EMPRESA CORRESPONDE ESTE PAGO POR FAVOR ME LO PUEDE VERIFICAR  GRACIAS	1	1
Attn: Maria Jose Aranguiz  Por favour realizer transferencia equivalente a CLP6.000.000 a Carolina Gabriela Aranda Castro a una cuenta en Inglaterra. Yorkshire Building Society numero de cta. 8793065307.  Atte. Philip Sutton	1	24
Estimada Maribel, junto con saludar, me comunico con Ud. para solicitar una tarjeta de débito adicional para mi señora Anikken Arentsen Aramburu rut 17.751.987-1 por favor, la cual fue solicitada hace meses, pero por no tener ejecutiva nunca se gestionó. Muchas gracias saludos  Joaquín	1	14
Hola Karen, Junto con saludarte te escribo ya que quisiera cerrar la cuenta ojala hoy. Ya retire todo mi dinero.   Saludos y gracias por todas tus gestiones.  Felipe 	1	18
Estimada María Fernanda,  Ayer trate de activar mi tarjeta de débito y crédito pero en ambos casos el cajero me señalo que no es posible realizar la acción. agradeceré verificar si se encuentran bloqueadas para poder activarlas. saludos cordiales 	1	12
Hola buenos dias. Perdi mi red compra, necesito gestionar una nueva. Es posible que me la eviten a la sucursal de providencia? Muchas gracias.  Tania López. 14.427.53-8	1	13
Hola Mireya! Una pregunta... Me están cobrando el seguro de desgravamen de la linea de crédito... Tenia entendido que la cuenta era sin costos. Me confirmas si esta bien el cobro? Sino para reversarlo. Saludos, Matías	1	1
Pamela , buenas tardes . seria posible me otorgaras tarjeta cajero automatico...la mis la deje olvidad en Lider ..la fui a buscar dia siguiente y me habian destruido   gracias   saludos cordiales 	1	13
hola Romina necesito pedirte un favor, necesito hacer una transferencia pero mi telefono esta roto porque se me cayo Tu puedes decirme como puedo hacer esa transferencia, o puedes autorizarlo tu? estoy en 10 de julio cambiando un foco y no me puedo ir hasta pagarlo! gracias	1	24
Estimada Natalia,  junto con saludar, tal como te lo he comentado en correos anteriores reitero mi interés en cerrar esta cuenta corriente debido al incumplimiento que tuvieron como banco al trato que realizamos tú y yo en Junio 2017 en tus oficinas de providencia. Dicho acuerdo establecía que yo  conservara mis fondos mutuos en el banco a cambio de sostener vigente la cuenta corriente sin cobro alguno. En ese mismo instante, paralelamente, se dio término a la cuenta Cash, tarjeta que rompí y lu	1	18
Hola Vanessa  Espero que te encuentres bien. Tengo cargado como PAC  enel y este mes no se cargo a mi cuenta corriente. Lo podrías solucionar por favor? Además cargue el seguro de mi auto de la compañía Liberty  hace 2 meses para que se cargara a mi  tarjeta de crédito y no se carga a la  tarjeta del banco sino que a otra que quiero cerrar, podrías revisarlo también por favor.  Te agradezco la gestión	1	34
Hola, buenos días! Tengo una pregunta, quisiera saber cuál es el interés diario de la linea de crédito. Entiendo que me dieron esa información al inicio, pero creo haber perdido el folleto así es que les agradezco me lo reiteren. Saludos fraternos, Karin Baeza 	1	3
Hola Ivonne  Quería saber como puedo pedir chequera para que me la manden a la casa? Mi dirección es Pocuro 3056 depto 1 Providencia  Gracias saludos  Francesca	1	16
hola, se me perdió mi tarjeta clave dinámica, que se hace? puedes darme otra, lo màs rápido posible. gracias soledad rodriguez	1	21
Estimada barbara Quedaste de avisarme por la tarjeta de débito, que paso??  La necesito!!!	1	12
Estimada, lamentablemente tengo que cerrar esta cuenta corriente, me puede indicar qué tengo que hacer para realizar esto. quedo atento, Saludos,	1	18
Estimada Rosario: Tengo uns cuenta de Metrogas de mi departamento de la calle Noruega 6680 Depto. 61 Las Condes, y le pido que por favor me lo saque del listado PAC, ya que se lo arrendé a otra persona.  Le saluda atentamente, Klaus Fuchslocher RUT: 4778299-6	1	5
Por favor aclarar cobro en cta cte por 370.346 no se entide la glosa 	1	27
Estimada Carolina Aun sigo teniendo una deuda de mas de 300 mil en la cuenta. Queria saber que va a pasar con eso y con el cobro de la mantencion de esta.  Gracias Paula Retamal	1	30
quiero saber de que trata ese descuento realizado con fecha 26-03-2018 por PLAN INTEGRAL PREFERENCIAL (UF 0.3600) 00000000000 $ 8.157	1	1
Buenos días, ruego enviarme cartola de movimientos de cuanta cte. de dias 23/02 al 3/03/2018.  No aparecen en la pagina.	1	7
Quiero inscribir un PAC, envié los antecedentes el día 07 de Junio y aún no aparece inscrito el PAC. Quiero que me den una fecha de compromiso para que esta solicitud quede resuelta. Cuál es el SLA que uds tienen? En correo que me llegó el día 11 de Junio, me indicaron este número de de caso:  Número de caso 599.172 CRM:0001966	1	4
Estimada Verónica,   Buen día, podría explicarme a que se refiere este cobro de línea de crédito adicional? Muchas gracias Saludos cordiales Paulina  07-05-2018 MANTENCION LINEA CRED.ADICIONAL 1.5UF 00000000000 $ 40.526 	1	1
Seba, por favor tambien dejar el pago de a LC a mi discreción NO automático  Gracias CY	1	5
